 
2016-10-11, 15:48:22, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.45 
2016-10-11, 15:48:42, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.71 
2016-10-11, 15:49:25, Offset ,Code , 31 ,Info , off:1 x=-0.09 n=-1.61 p=1.43 P1=-767.70 P2=780.34 
2016-10-11, 15:49:25, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:43.68 
2016-10-11, 15:50:19, Offset ,Code , 31 ,Info , off:2 x=-3.49 n=-3.63 p=-3.35 P1=-765.69 P2=785.12 
2016-10-11, 15:50:20, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:54.42 
2016-10-11, 15:51:10, Offset ,Code , 31 ,Info , off:3 x=-1.20 n=-1.84 p=-0.56 P1=-767.47 P2=782.33 
2016-10-11, 15:51:11, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:51.15 
2016-10-11, 15:52:17, Offset ,Code , 31 ,Info , off:4 x=-4.60 n=-5.76 p=-3.43 P1=-763.55 P2=785.20 
2016-10-11, 15:52:17, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:66.34 
2016-10-11, 15:57:10, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:293.02 
2016-10-11, 16:00:55, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.18 
2016-10-11, 16:04:39, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.20 
2016-10-11, 16:08:23, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.24 
2016-10-11, 16:11:01, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:157.80 
2016-10-11, 16:13:10, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.79 
2016-10-11, 16:15:19, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.87 
2016-10-11, 16:17:28, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.96 
2016-10-11, 16:18:27, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.44 
2016-10-11, 16:18:57, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.01 
2016-10-12, 07:25:05, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:54368.13 
2016-10-12, 07:25:25, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.51 
2016-10-12, 07:26:16, Offset ,Code , 31 ,Info , off:1 x=-2.46 n=-3.67 p=-1.25 P1=-765.64 P2=783.02 
2016-10-12, 07:26:16, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:51.39 
